Date,Mileage,time_corr,pace_min
2011-12-06,4.2,0:30:00,7.142857142857142
2011-12-07,6.0,0:42:57,7.158333333333333
2011-12-10,3.25,,nan
2011-12-12,4.2,0:29:56,7.1269841269841265
2011-12-13,4.1,0:28:31,6.955284552845529
2011-12-14,6.47,0:46:58,7.259144770736734
2011-12-16,6.0,0:43:14,7.205555555555555
2011-12-18,8.2,1:04:08,7.821138211382115
2011-12-20,5.0,0:33:50,6.766666666666667
2011-12-21,4.1,0:29:04,7.089430894308944
2011-12-22,4.07,0:29:35,7.268632268632269
2011-12-24,9.2,1:11:05,7.726449275362319
2011-12-27,8.2,1:00:49,7.416666666666668
2011-12-29,4.2,0:30:58,7.373015873015873
2011-12-30,6.1,0:49:18,8.081967213114755
2012-01-01,3.1,0:19:05,6.155913978494623
2012-01-08 00:00:00,4.1,0:33:34,8.1869918699187
2012-01-10 00:00:00,5.0,0:36:27,7.29
2012-01-13 00:00:00,3.1,0:19:58,6.440860215053763
2012-01-14 00:00:00,5.6,0:39:08,6.988095238095239
2012-01-16 00:00:00,5.0,0:32:52,6.573333333333333
2012-01-18 00:00:00,3.7,0:26:44,7.225225225225225
2012-01-21 00:00:00,7.35,0:53:48,7.319727891156463
2012-01-24 00:00:00,4.25,0:29:14,6.878431372549019
2012-02-04 00:00:00,4.1,0:32:00,7.8048780487804885
2012-02-08 00:00:00,4.4,0:35:22,8.037878787878787
2012-02-11 00:00:00,4.05,0:31:43,7.8312757201646095
2012-02-12 00:00:00,1.08,0:6:37,6.126543209876543
2012-02-18 00:00:00,4.1,0:31:30,7.682926829268293
2012-02-23 00:00:00,4.1,0:33:14,8.105691056910569
2012-02-24 00:00:00,4.1,0:33:16,8.113821138211383
2012-03-03 00:00:00,4.25,0:31:10,7.333333333333333
2012-03-12 00:00:00,2.0,0:13:13,6.608333333333333
2012-03-18 00:00:00,4.1,0:30:49,7.516260162601626
2012-03-25 00:00:00,4.1,0:31:30,7.682926829268293
2012-03-27 00:00:00,3.1,0:24:53,8.026881720430108
2012-04-01 00:00:00,4.28,0:32:26,7.577881619937695
2012-04-03 00:00:00,4.6,0:32:33,7.076086956521739
2012-04-05 00:00:00,4.1,0:32:22,7.894308943089431
2012-04-05 00:00:00,4.28,0:29:22,6.861370716510903
2012-04-09 00:00:00,4.1,0:31:00,7.560975609756098
2012-04-13 00:00:00,4.1,0:31:15,7.621951219512196
2012-04-15 00:00:00,4.1,0:32:18,7.878048780487806
2012-04-19 00:00:00,4.1,0:32:49,8.004065040650408
2012-04-21 00:00:00,4.1,0:29:32,7.203252032520326
2012-04-22 00:00:00,4.77,0:36:26,7.638015373864431
2012-04-26 00:00:00,4.1,0:31:27,7.670731707317074
2012-04-28 00:00:00,4.1,0:31:00,7.560975609756098
2012-04-29 00:00:00,4.29,0:29:46,6.938616938616939
2012-05-06 00:00:00,4.1,0:30:05,7.337398373983741
2012-05-08 00:00:00,4.1,0:30:44,7.4959349593495945
2012-05-09 00:00:00,4.1,0:32:29,7.922764227642277
2012-05-13 00:00:00,4.44,0:35:18,7.950450450450449
2012-05-15 00:00:00,4.1,0:28:55,7.0528455284552845
2012-05-18 00:00:00,4.1,0:28:58,7.065040650406504
2012-05-20 00:00:00,6.15,0:47:13,7.677506775067751
2012-05-22 00:00:00,4.1,0:31:09,7.597560975609756
2012-05-25 00:00:00,6.15,0:46:34,7.571815718157181
2012-05-29 00:00:00,4.25,0:30:19,7.133333333333334
2012-05-31 00:00:00,4.1,0:29:44,7.252032520325204
2012-06-02 00:00:00,4.5,,nan
2012-06-05 00:00:00,4.36,0:30:14,6.934250764525994
2012-06-07 00:00:00,4.1,0:31:54,7.7804878048780495
2012-06-09 00:00:00,3.1,0:17:42,5.709677419354838
2012-06-12 00:00:00,2.38,0:20:01,8.410364145658264
2012-06-14 00:00:00,3.1,0:20:39,6.661290322580645
2012-06-15 00:00:00,3.75,0:26:41,7.115555555555556
2012-06-16 00:00:00,4.25,,nan
2012-06-19 00:00:00,4.75,0:37:42,7.936842105263158
2012-06-20 00:00:00,1.5,0:10:20,6.888888888888888
2012-06-22 00:00:00,3.75,0:29:28,7.857777777777778
2012-06-23 00:00:00,4.0,,nan
2012-06-26 00:00:00,3.6,0:29:58,8.324074074074074
2012-06-28 00:00:00,5.53,0:42:00,7.594936708860759
2012-06-29 00:00:00,3.65,0:28:42,7.863013698630137
2012-07-09 00:00:00,3.41,0:26:27,7.7565982404692075
2012-07-11 00:00:00,3.87,0:31:29,8.135228251507321
2012-07-13 00:00:00,5.75,0:42:18,7.356521739130434
2012-07-14 00:00:00,4.5,,nan
2012-07-16 00:00:00,6.0,0:47:21,7.891666666666667
2012-07-18 00:00:00,5.4,0:38:11,7.070987654320987
2012-07-20 00:00:00,4.39,0:35:46,8.147304479878512
2012-07-21 00:00:00,3.5,,nan
2012-07-23 00:00:00,4.28,0:32:16,7.538940809968847
2012-07-23 00:00:00,3.53,,nan
2012-07-24 00:00:00,4.09,0:38:04,9.307253463732682
2012-07-26 00:00:00,4.55,0:37:16,8.190476190476192
2012-07-27 00:00:00,2.88,0:21:11,7.355324074074074
2012-07-27 00:00:00,3.3,,nan
2012-07-30 00:00:00,2.4,,nan
2012-07-31 00:00:00,5.14,,nan
2012-08-01 00:00:00,6.9,0:54:49,7.944444444444444
2012-08-02 00:00:00,5.09,0:44:14,8.690242305173543
2012-08-03 00:00:00,5.33,0:42:06,7.898686679174484
2012-08-03 00:00:00,3.88,0:27:01,6.963058419243987
2012-08-04 00:00:00,6.18,0:50:00,8.090614886731393
2012-08-06 00:00:00,7.0,0:50:32,7.219047619047619
2012-08-07 00:00:00,6.71,0:52:46,7.8638847491306505
2012-08-08 00:00:00,8.1,,nan
2012-08-09 00:00:00,6.6,0:49:22,7.47979797979798
2012-08-10 00:00:00,6.75,0:52:15,7.740740740740741
2012-08-11 00:00:00,4.1,0:34:09,8.329268292682928
2012-08-13 00:00:00,7.07,0:53:02,7.501178689297501
2012-08-14 00:00:00,4.1,0:33:39,8.207317073170733
2012-08-15 00:00:00,3.62,0:32:56,9.097605893186003
2012-08-16 00:00:00,3.1,0:17:48,5.741935483870967
2012-08-18 00:00:00,6.2,0:51:55,8.373655913978494
2012-08-20 00:00:00,7.35,0:52:20,7.120181405895692
2012-08-21 00:00:00,5.34,0:37:05,6.944444444444445
2012-08-22 00:00:00,4.77,0:42:57,9.004192872117402
2012-08-23 00:00:00,3.1,0:17:56,5.784946236559139
2012-08-25 00:00:00,6.4,0:49:46,7.776041666666667
2012-08-27 00:00:00,7.31,,nan
2012-08-28 00:00:00,6.33,0:53:02,8.37809373354397
2012-08-29 00:00:00,1.3,,nan
2012-08-30 00:00:00,3.25,0:25:29,7.841025641025641
2012-09-01 00:00:00,4.3,0:43:31,10.120155038759691
