Date,Mileage,time_corr,pace_min,Month,Day,month.day,numRun,highest,rpd,firstRun,numYear
2018-01-17,9,1:05:04,7.229629629629629,1,17,1/17,6,0,2,0,5
2019-01-17,8,NA,NA,1,17,1/17,7,0,1,1,6
2020-01-17,8.13,0:59:33,7.3247232472324715,1,17,1/17,8,0,1,1,7
2021-01-17,11.11,1:25:01,7.652265226522653,1,17,1/17,9,1,1,1,8
2011-01-18,3.05,0:22:19,7.316939890710383,1,18,1/18,1,0,1,1,1
2012-01-18,3.7,0:26:44,7.225225225225225,1,18,1/18,2,0,1,1,2
2013-01-18,1,NA,NA,1,18,1/18,3,0,1,1,3
2017-01-18,8.07,NA,NA,1,18,1/18,4,0,1,1,4
2018-01-18,7.03,0:49:59,7.110004741583689,1,18,1/18,5,0,1,1,5
2019-01-18,3.11,0:16:09,5.192926045016078,1,18,1/18,6,0,1,1,6
2019-01-18,5.69,NA,NA,1,18,1/18,7,0,2,0,6
2021-01-18,7.75,0:49:11,6.3462365591397845,1,18,1/18,8,1,1,1,7
2010-01-19,2.6,0:24:00,9.23076923076923,1,19,1/19,1,0,1,1,1
2016-01-19,9.3,NA,NA,1,19,1/19,2,0,1,1,2
2017-01-19,6.29,0:47:20,7.525172231054584,1,19,1/19,3,0,1,1,3
2018-01-19,7.05,0:53:55,7.6477541371158395,1,19,1/19,4,0,1,1,4
2019-01-19,13,1:37:30,7.5,1,19,1/19,5,0,1,1,5
2020-01-19,9.61,1:04:44,6.736038848421783,1,19,1/19,6,0,1,1,6
2021-01-19,7.42,0:53:30,7.210242587601078,1,19,1/19,7,1,1,1,7
2013-01-20,6,NA,NA,1,20,1/20,1,0,1,1,1
2015-01-20,3.66,0:25:05,6.853369763205829,1,20,1/20,2,0,1,1,2
2016-01-20,7.64,0:57:30,7.526178010471204,1,20,1/20,3,0,1,1,3
2017-01-20,6.18,0:45:13,7.316612729234089,1,20,1/20,4,0,1,1,4
2018-01-20,9.39,NA,NA,1,20,1/20,5,0,1,1,5
2019-01-20,8,0:57:19,7.164583333333334,1,20,1/20,6,0,1,1,6
2020-01-20,6.68,0:50:00,7.485029940119761,1,20,1/20,7,0,1,1,7
2021-01-20,8.26,0:56:09,6.797820823244552,1,20,1/20,8,1,1,1,8
2012-01-21,7.35,0:53:48,7.319727891156463,1,21,1/21,1,0,1,1,1
2013-01-21,4.2,0:34:23,8.186507936507935,1,21,1/21,2,0,1,1,2
2015-01-21,4.1,0:30:42,7.487804878048781,1,21,1/21,3,0,1,1,3
2016-01-21,7.09,0:53:58,7.611659614480489,1,21,1/21,4,0,1,1,4
2017-01-21,1,0:4:47,4.783333333333333,1,21,1/21,5,0,1,1,5
2017-01-21,8.08,NA,NA,1,21,1/21,6,0,2,0,5
2018-01-21,12.11,1:22:10,6.785026149187999,1,21,1/21,7,0,1,1,6
2019-01-21,5,0:36:19,7.263333333333334,1,21,1/21,8,0,1,1,7
2020-01-21,5,0:35:53,7.176666666666667,1,21,1/21,9,0,1,1,8
2021-01-21,7,0:48:15,6.892857142857142,1,21,1/21,10,1,1,1,9
2011-01-22,3.75,NA,NA,1,22,1/22,1,0,1,1,1
2015-01-22,4.9,0:36:45,7.499999999999999,1,22,1/22,2,0,1,1,2
2016-01-22,6.95,0:59:12,8.517985611510792,1,22,1/22,3,0,1,1,3
2017-01-22,10,1:13:40,7.366666666666666,1,22,1/22,4,0,1,1,4
2018-01-22,6.32,0:51:49,8.198839662447257,1,22,1/22,5,0,1,1,5
2020-01-22,6.11,0:43:23,7.10038188761593,1,22,1/22,6,0,1,1,6
2021-01-22,7.18,0:50:19,7.007892293407614,1,22,1/22,7,1,1,1,7
2014-01-23,5.18,0:44:04,8.507078507078507,1,23,1/23,1,0,1,1,1
2015-01-23,5.9,0:50:37,8.579096045197739,1,23,1/23,2,0,1,1,2
2018-01-23,10.25,NA,NA,1,23,1/23,3,0,1,1,3
2019-01-23,8,NA,NA,1,23,1/23,4,0,1,1,4
2021-01-23,13.1,1:25:30,6.526717557251909,1,23,1/23,5,1,1,1,5
2012-01-24,4.25,0:29:14,6.878431372549019,1,24,1/24,1,0,1,1,1
2013-01-24,3.1,0:24:47,7.994623655913979,1,24,1/24,2,0,1,1,2
2016-01-24,10.63,1:20:07,7.536845406083412,1,24,1/24,3,0,1,1,3
2017-01-24,7.47,0:52:10,6.983489513609996,1,24,1/24,4,0,1,1,4
2018-01-24,3.34,0:23:31,7.040918163672655,1,24,1/24,5,0,1,1,5
2018-01-24,9.04,1:08:02,7.525811209439529,1,24,1/24,6,0,2,0,5
